tract,gsmn_math_g3_2013,,Census Tract,,
14406,2.2626221,,144.06,14406,TRUE
14407,2.2626221,,144.07,14407,TRUE
14408,2.2626221,,144.08,14408,TRUE
14501,2.2626221,,145.01,14501,TRUE
14502,2.2626221,,145.02,14502,TRUE
14601,2.2626221,,146.01,14601,TRUE
14602,2.2626221,,146.02,14602,TRUE
14603,2.2626221,,146.03,14603,TRUE
14701,2.2626221,,147.01,14701,TRUE
14702,2.2626221,,147.02,14702,TRUE
14703,2.2626221,,147.03,14703,TRUE
14901,2.2626221,,149.01,14901,TRUE
14902,2.2626221,,149.02,14902,TRUE
15000,2.2626221,,150,15000,TRUE
15100,2.2626221,,151,15100,TRUE
15202,2.2626221,,152.02,15202,TRUE
15204,2.2626221,,152.04,15204,TRUE
15205,2.2626221,,152.05,15205,TRUE
15206,2.2626221,,152.06,15206,TRUE
15303,2.6432319,,153.03,15303,TRUE
15304,2.6432319,,153.04,15304,TRUE
15305,2.2626221,,153.05,15305,TRUE
15306,2.6432319,,153.06,15306,TRUE
15401,2.9460425,,154.01,15401,TRUE
15403,2.9460425,,154.03,15403,TRUE
15404,2.9460425,,154.04,15404,TRUE
15500,2.9460425,,155,15500,TRUE
15600,2.9460425,,156,15600,TRUE
15700,2.9460425,,157,15700,TRUE
15800,2.5620432,,158,15800,TRUE
15900,2.9460425,,159,15900,TRUE
16001,2.9460425,,160.01,16001,TRUE
16002,2.9460425,,160.02,16002,TRUE
16100,2.9460425,,161,16100,TRUE
16201,2.9460425,,162.01,16201,TRUE
16202,2.9460425,,162.02,16202,TRUE
16301,2.9460425,,163.01,16301,TRUE
16302,2.9460425,,163.02,16302,TRUE
16401,2.9460425,,164.01,16401,TRUE
16406,2.9460425,,164.06,16406,TRUE
16407,2.9460425,,164.07,16407,TRUE
16408,2.9460425,,164.08,16408,TRUE
16409,2.4407663,,164.09,16409,TRUE
16410,2.9460425,,164.1,16410,TRUE
16411,2.9176383,,164.11,16411,TRUE
16412,2.4407663,,164.12,16412,TRUE
16413,2.9176383,,164.13,16413,TRUE
16502,1.7582785,,165.02,16502,TRUE
16509,2.2751908,,165.09,16509,TRUE
16510,2.5570333,,165.1,16510,TRUE
16511,2.2751908,,165.11,16511,TRUE
16513,2.2751908,,165.13,16513,TRUE
16514,2.2751908,,165.14,16514,TRUE
16516,1.7582785,,165.16,16516,TRUE
16517,1.7582785,,165.17,16517,TRUE
16518,1.7582785,,165.18,16518,TRUE
16519,1.7582785,,165.19,16519,TRUE
16520,2.051574,,165.2,16520,TRUE
16521,2.4164693,,165.21,16521,TRUE
16522,2.8732493,,165.22,16522,TRUE
16523,2.8732493,,165.23,16523,TRUE
16605,2.051574,,166.05,16605,TRUE
16606,2.051574,,166.06,16606,TRUE
16607,2.051574,,166.07,16607,TRUE
16610,2.2040911,,166.1,16610,TRUE
16611,2.2040911,,166.11,16611,TRUE
16612,2.2040911,,166.12,16612,TRUE
16615,2.8732493,,166.15,16615,TRUE
16616,2.8732493,,166.16,16616,TRUE
16617,2.0121317,,166.17,16617,TRUE
16618,2.2040911,,166.18,16618,TRUE
16619,2.2040911,,166.19,16619,TRUE
16620,2.2040911,,166.2,16620,TRUE
16621,2.2040911,,166.21,16621,TRUE
16622,2.2040911,,166.22,16622,TRUE
